Title,Year,Rating,Votes,Synopsis,Runtime
Clerk,2021,6.9,712.0,A documentary on the career and life of filmmaker and raconteur Kevin Smith.,1h 55m
Thittam Irandu,2021,7.1,3000.0,A cop starts investigating the mysterious disappearance of her childhood friend. Can she handle the revelation that lies at the end of her inquiry?,2h
B.A. Pass 3,2021,5.0,3100.0,BA Pass 3 narrates the story of a jobless Anshul and how his life changes upside down when he meets a married woman and gets into a relationship with her.,2h 16m
Marfa,2021,3.9,1700.0,"Four lifelong friends decide to veer off the road and venture into a small rural town after meeting a mysterious stranger. The line between reality and fantasy becomes blurred as they encounter the strange lights of Marfa, Texas.",1h 37m
Puff: Wonders of the Reef,2021,7.2,1200.0,A baby pufferfish travels through a wondrous microworld full of fantastical creatures as he searches for a home on the Great Barrier Reef.,1h 2m
Baazi,2021,4.2,650.0,An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.,2h 8m
Heavens Above,2021,6.0,1200.0,"The spectacular story of main character Stojan is a satire divided into three episodes, in which the long line to God and edible works of art play a role alongside hypocritical halos.",2h
The Guide to the Perfect Family,2021,6.4,2000.0,"A couple in Québec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image.",1h 42m
Maestro,2021,6.7,1500.0,"A piano player pretending to be visually-impaired, unwittingly becomes entangled in a number of problems as he witnesses the murder of a former film actor.",2h 15m
Aelay,2021,7.0,779.0,"An unexpected life event forces a young man to reconsider the past and his opinions about his father, who was an ice-cream seller.",2h 33m
Christmas with the Chosen: The Messengers,2021,7.9,1000.0,"Artists perform new and classic Christmas songs from the set of ""The Chosen.""",2h 3m
Mr. Bachmann and His Class,2021,8.1,995.0,"How does one feel at home? In Stadtallendorf, a German city with a complex history of both excluding and integrating foreigners, genial teacher Dieter Bachmann offers his pupils the key to at least feeling as if they are at home.",3h 37m
Sherni,2021,6.8,12000.0,An upright Forest Officer who strives for balance in a world of man-animal conflict while she also seeks her true calling in a hostile environment.,2h 11m
"Introducing, Selma Blair",2021,7.8,1100.0,A deeply intimate and raw portrait of Selma Blair after she is diagnosed with Multiple Sclerosis and tries to slow the progression of her disease.,1h 30m
Robot Apocalypse,2021,2.6,748.0,"When expert hacker Tara tries to stop a powerful, sentient A.I. as it takes over the world's military, the A.I. marks her as a terrorist that must be exterminated.",1h 27m
"Goodbye, Butterfly",2021,4.9,503.0,"After his five-year-old daughter is murdered, a loving family man becomes convinced that the oddball down the street is guilty.",1h 38m
India Sweets and Spices,2021,6.1,892.0,"When college freshman Alia returns home for the summer, she discovers secrets and lies in her parents' past that make her question everything she thought she knew about her family.",1h 41m
Vaazhl,2021,6.8,1400.0,"Vaazhl' is a film about inner search, through travel and journey to discover your true self.",1h 52m
Krack,2021,6.9,7500.0,"Krack is a action entertainer based on real incidents, Ravi Teja plays a tough and fierce police officer who doesn't think twice before bashing up anyone. Loaded with deadly goons, high-octane action, chase sequences and captivating dialogues, Krack promises to be a full-blown entertainer.",2h 34m
Vakeel Saab,2021,6.9,13000.0,Three girls find themselves accused of attempt to murder after escaping molestation. Their only hope is an alcoholic lawyer who agrees to take up the case.,2h 33m
Ms. Preethi,2021,7.4,979.0,Telugu movie directed by Harikumar Devarapalli.,1h 29m
Father of Flies,2021,4.0,545.0,"A haunting tale of family life. A vulnerable young boy finds his mother pushed out of the family home by a strange new woman, and he must confront the terrifying supernatural forces that seem to move in with her.",1h 18m
Le test,2021,5.9,677.0,"Annie lives in harmony with her husband Laurent and her children: the sensitive elders Maximilien and César; the younger Antoine whom Poupi, never-complaining teen, helps raising him. But a positive pregnancy test will disturb the harmony.",1h 25m
Cinemabandi,2021,7.8,3200.0,"When a driver finds an expensive camera in the back seat of his rickshaw, he comes up with a ridiculously ambitious plan to gather the village and make a film - a ticket to get their drought-hit village out of its dreary conditions.",1h 38m
The Land,2021,6.2,649.0,"In contemporary Poland, people from different social classes face apparently common situations that end up making them mad.",1h 43m
Her Way,2021,6.5,680.0,"Marie, an independent and militant woman, has never needed anyone's help, including when it comes to raise her son. When the latter is expelled from his certificate of professional competence training class, Marie cannot accept it. Dreaming of a brighter future for him, she decides to enroll him in one of the best cooking schools in France. But her income does not allow her to pay the school fees. She has to find a solution, at any cost.",1h 37m
Premam Poojyam,2021,7.8,589.0,"Dr Sri Hari is a selfless cardiologist, who loves and worships his profession. When a patient, Yojitha, stumbles on his diary, we get to know of his love story that has turned him into a successful surgeon. Sri hari is a happy, guy who lives his life to the fullest, everyday. A sudden entry of angel along with the gift of love changes his world completely. It's a roller coaster ride of love, friendship, and wholesome of emotions.",2h 53m
More Than I Wished For,2021,6.3,550.0,"Perpetually single Sawyer makes a fake wedding registry to burn off some Christmas loneliness. Her friends find it and think she's become secretly engaged. Too embarrassed to tell the truth, she instead finds a ""fiancé"" for the holidays.",1h 25m
Deadly Switch,2021,4.5,1500.0,"When a foreign exchange student, Ana, studying abroad in America becomes the target of a dangerous stalker, she accepts the invitation to move in with her roommate's family in their idyllic town.",1h 27m
Ali & the Queens,2021,7.0,1600.0,"After his father's passing, a teenager sets out for New York in search of his estranged mother and soon finds love and connection in unexpected places.",1h 40m
The Ultimate Playlist of Noise,2021,6.6,1100.0,"Marcus, an audio-obsessed high school senior, learns he must undergo brain surgery that will render him deaf, and decides to seize control of his fate by recording the Ultimate Playlist of Noise.",1h 39m
Kurt Vonnegut: Unstuck in Time,2021,7.9,1500.0,"Recounting the extraordinary life of author Kurt Vonnegut, and the 25-year friendship with the filmmaker who set out to document it.",2h 7m
The Blind Man Who Did Not Want to See Titanic,2021,7.5,2000.0,"Jaakko and Sirpa have never met face to face but they talk on the phone every day. When he hears about her declining health, he decides to go meet her in another city; a challenge if you can't see and are paralyzed from the chest down.",1h 22m
Lakshya,2021,5.4,628.0,Pardhu is an archer who wants to represent India at the World Championships. How does he bounce back and achieve what he wants after losing track?,2h 25m
Udumb,2021,3.8,1200.0,The events that happen in the life of Ani after he gets convicted for a murder.,1h 46m
Forever Rich,2021,5.6,1600.0,"When Richie's watch is stolen in a violent robbery and humiliating images of the encounter go viral, the rapper has to fix his reputation to save his career.",1h 29m
Nussa: The Movie,2021,7.2,583.0,Nussa's life changed when he met a new friend who was much more liked by his friends than himself.,1h 47m
Dogtanian and the Three Muskehounds,2021,5.2,501.0,"Dogtanian is a young swordsman who dreams of joining the legendary Muskehounds. After proving his skills and earning their trust, he and the Muskehounds must defend the King from the evil Cardinal Richelieu's secret plot to seize power.",1h 24m
