Title,Year,Rating,Votes,Synopsis,Runtime
The Eternal Daughter,2022,5.9,6900.0,"Returning to a hotel now haunted by its mysterious past, an artist and her elderly mother confront long-buried secrets in their former family home.",1h 36m
Survive,2022,4.7,1700.0,"When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness.",1h 48m
Fireheart,2022,6.2,3500.0,"Nolan, aspiring to be the first female firefighter, joins a misfit crew fighting an arsonist after her father is tasked to investigate missing firemen. Disguised as ""Joe"", she battles to save her city and support her father's mission.",1h 32m
Blood,2022,5.5,5500.0,"Jess, a separated mother and nurse, moves with her daughter and young son Owen back into her old farmhouse. Shortly after settling in, Owen is bitten by the dog, resulting in a mysterious infection from the bite.",1h 48m
Stutz,2022,7.7,18000.0,Follow Hill and his therapist as he has candid discussions of mental health and the progressively worsening anxiety attacks related to movie promotion that have turned his dream job into a nightmare.,1h 36m
All the Beauty and the Bloodshed,2022,7.5,8600.0,"Follows the life of artist Nan Goldin and the downfall of the Sackler family, the pharmaceutical dynasty who was greatly responsible for the opioid epidemic's unfathomable death toll.",1h 53m
Brian and Charles,2022,6.7,9500.0,"After a particularly harsh winter Brian goes into a deep depression; completely isolated and with no one to talk to, Brian does what any sane person would do when faced with such a melancholic situation. He builds a robot.",1h 30m
Caravaggio's Shadow,2022,6.5,1800.0,The Catholic Church secretly investigates Caravaggio as the Pope weighs whether to grant him clemency for killing a rival.,2h
Hold My Hand,2022,5.8,599.0,The comfort-seeking Maja tries to regain control over her life following her recent divorce. 'Take My Hand' is a romantic comedy with all the drama that follows when our perceptions of love are turned upside down.,1h 47m
The Swearing Jar,2022,6.2,787.0,"""It is a rare and miraculous thing to find your one true soul mate."" Carey soon learns that finding two of them can pose an even greater problem.",1h 50m
Prisoner's Daughter,2022,6.4,3200.0,"A father fights for the love of his daughter and grandson, after serving twelve years in prison.",1h 40m
Daliland,2022,5.9,2700.0,"In 1973, a young gallery assistant goes on a wild adventure behind the scenes as he helps the aging genius Salvador Dali prepare for a big show in New York.",1h 37m
Biosphere,2022,5.5,2700.0,"In the not-too-distant future, the last two men on earth must adapt and evolve to save humanity.",1h 46m
"Hello, Goodbye and Everything in Between",2022,5.1,4600.0,"After making a pact to break up before college, Claire and Aidan retrace the steps of their relationship on one last epic date, revisiting familiar and unexpected places as they question: stay together or say goodbye forever?",1h 22m
The End of Sex,2022,5.1,732.0,"A couple feeling the pressures of parenting and adulthood, send their kids to winter camp for the first time and embark on a series of sexual adventures to reinvigorate their relationship.",1h 27m
Pinball: The Man Who Saved the Game,2022,7.0,4600.0,"The story of Roger Sharpe, the young midwesterner who overturned New York City's 35 year-old ban on pinball machines.",1h 35m
Darlings,2022,6.6,22000.0,It follows the lives of two women as they find courage and love in exceptional circumstances.,2h 13m
Virgin Forest,2022,4.4,594.0,"A photographer, tasked to take photos of a rare flower in the mountain, discovers women trapped in a hidden brothel for illegal loggers. Now, he must do everything to save them.",1h 53m
Blackout,2022,3.9,5000.0,"A man wakes in a hospital with no memory, and quickly finds himself on the run in a locked down hospital with the Cartel on his tail. He scrambles to find his true identity in the most vicious way.",1h 21m
Fortress: Sniper's Eye,2022,3.0,1700.0,Story revolves around a top-secret resort for retired U.S. intelligence officers.,1h 27m
The Womb,2022,5.9,807.0,"Grappling with an unplanned pregnancy, a woman turns in desperation to a mysterious older couple who promise to take care of her baby.",1h 56m
The Accursed,2022,4.2,1600.0,"Elly is asked by a family friend to look after an elderly woman living in a remote cabin for a few days. She agrees, but soon discovers there is a demon hiding in the woman just waiting to break free.",1h 37m
The Price We Pay,2022,4.9,4500.0,"After a pawn shop robbery goes askew, two criminals take refuge at a remote farmhouse to try to let the heat die down, but find something much more menacing.",1h 26m
Nanny,2022,5.3,8600.0,"Piecing together a new life in New York City while caring for the child of an Upper East Side family, immigrant nanny Aisha is forced to confront a concealed truth that threatens to shatter her precarious American Dream.",1h 39m
The Requin,2022,2.6,7100.0,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",1h 29m
Lullaby,2022,4.9,2700.0,"A new mother discovers a lullaby in an ancient book and soon regards the song as a blessing, but her world transforms into a nightmare when the lullaby brings forth the ancient demon Lilith.",1h 29m
One Piece Film: Red,2022,6.8,24000.0,"Uta, the most beloved singer on the planet, is known for hiding her own identity when performing. Now, for the first time, she will reveal herself to the world. All of Uta's fans, including the Straw Hats led by Luffy, await.",1h 55m
Hot Seat,2022,4.3,4000.0,"An ex-hacker is forced to break into high-level banking institutions, another man must try to penetrate the booby trapped building to get the young man off the hot seat.",1h 39m
Smoking Causes Coughing,2022,6.5,5600.0,"A group of vigilantes called the Tobacco Force is falling apart. To rebuild team spirit, their leader suggests that they meet for a week-long retreat, where they bond over scary stories before returning to save the world.",1h 17m
Falling for Christmas,2022,5.3,32000.0,"In the days leading up to Christmas, a young and newly engaged heiress experiences a skiing accident. After being diagnosed with amnesia, she finds herself in the care of the handsome lodge owner and his daughter.",1h 33m
I Love My Dad,2022,6.3,3500.0,A hopelessly estranged father catfishes his son in an attempt to reconnect.,1h 36m
Shark Bait,2022,4.4,5200.0,"A group of friends on vacation steal a couple of jet skis for fun and race them out to sea, ending up in a head-on collision. They struggle to find a way home with a badly injured friend, while from the waters below predators lurk.",1h 27m
Blue's Big City Adventure,2022,6.2,832.0,Josh and Blue head to New York City to audition for a big Broadway musical.,1h 22m
Kotha Kothaga,2022,7.4,1100.0,A middle-class boy falls for a girl with royal lineage but she's engaged to be married to someone else.,2h
13,2022,5.2,1100.0,"After his parents' divorce, Evan Goldman moves from NYC to small-town Indiana. As his 13th birthday nears, he must master the complex social circles of his new school and win friends by turning his Bar Mitzvah into the coolest party ever.",1h 31m
The Punishment,2022,6.8,947.0,A seven-year-old child disappears from his parents' sight in a mysterious but haunting forest after a punishment.,1h 25m
Operation Seawolf,2022,3.4,1000.0,"In the last days of World War II, Germany, desperate for a last chance to defeat the Allies, gathers its last remaining U-Boats for one last mission: to attack the continental United States.",1h 27m
As Good As Dead,2022,5.5,976.0,"Bryant befriends a troubled teen and introduces him to martial arts. As Bryant's mysterious and dangerous past catches up to him, he is forced into a life and death struggle to clear his name, save the boy and get back all he left behind.",1h 29m
Disappear Completely,2022,6.2,1800.0,"After visiting a crime scene, an ambitious and insensitive tabloid crime photographer, falls victim to a mysterious illness that makes him lose, one by one, his five senses.",1h 40m
Fathers and Mothers,2022,5.8,1200.0,"A married couple who have to navigate hierarchy, rivalry and hidden agendas at their daughter's new school, including during a popular school camping trip.",1h 37m
Beavis and Butt-Head Do the Universe,2022,7.0,14000.0,"After a ""creative"" judge sentences them to space camp, a black hole sends our adolescent heroes 24 years into the modern future where the duo misuse iPhones, embark on a quest to score, and become targets of the Deep State.",1h 27m
Bigbug,2022,5.5,11000.0,A group of bickering suburbanites find themselves stuck together when an android uprising causes their well intentioned household robots to lock them in for their own safety.,1h 51m
Apollo 10 1/2: A Space Age Adventure,2022,7.2,13000.0,"A coming-of-age story set in the suburbs of Houston, Texas in the summer of 1969, centered around the historic Apollo 11 moon landing.",1h 37m
Blades in the Darkness,2022,5.9,1100.0,The horror is never ending..,1h 21m
The One,2022,5.9,839.0,"On August 24, 1981, the newlyweds Larisa and Vladimir Savitsky stepped on board the plane, following the flight Komsomolsk-on-Amur - Blagoveshchensk.",1h 48m
Wrong Place,2022,3.5,5400.0,"A methamphetamines cook hunts down the former Police chief of a small town in order to silence him before he can deliver eyewitness testimony against his family, but ultimately finds himself up against more than he had bargained for.",1h 36m
The Rite of Spring,2022,6.4,616.0,"Laura develops an unconventional relationship with David, who has cerebral palsy.",1h 49m
Roost,2022,5.3,1900.0,"In this immersive thriller directed by Amy Redford, a young love affair becomes a menacing game of cat and mouse. Nothing and no one are as they seem.",1h 25m
A Wounded Fawn,2022,5.5,3700.0,"A serial killer brings an unsuspecting new victim on a weekend getaway to add another body to his ever-growing count. She's buying into his faux charms, and he's eagerly lusting for blood. What could possibly go wrong?",1h 31m
The Baker,2022,5.9,3300.0,An elderly baker must do everything he can to protect his granddaughter from gangsters.,1h 44m
Marry My Dead Body,2022,7.0,6600.0,"One day a police officer finds a red wedding envelope, only to find out that the owner is in fact a ghost asking for the officer's hand in marriage before reincarnation. What will happen when a human and a ghost form a special bond?",2h 10m
Project 'Gemini',2022,3.5,4500.0,"A sci-fi thriller about a space mission sent to terraform a distant planet. However, the mission encounters something unknown that has its own plan for the planet.",1h 38m
Wedding Season,2022,6.3,12000.0,"Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other.",1h 38m
Enys Men,2022,5.6,3900.0,"Set in 1973 on an uninhabited island off the Cornish coast, a wildlife volunteer's daily observations of a rare flower turn into a metaphysical journey that forces her as well as the viewer to question what is real and what is a nightmare.",1h 36m
Feed,2022,4.8,8400.0,A group of social media experts are hired to help an old family business to thrive. But they soon find themselves stuck on a tiny island in a lake in which an ancient Swedish witch is said to live.,1h 40m
R.M.N.,2022,7.2,5900.0,"A non-judgmental analysis of the driving forces of human behavior when confronted with the unknown, of the way we perceive the other and on how we relate to an unsettling future.",2h 5m
9 Bullets,2022,4.1,2800.0,A burlesque dancer must go on the run to save a neighbor boy whose life is threatened by her ex-lover.,1h 37m
Hridayam,2022,8.1,17000.0,"The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life.",2h 52m
Burning Days,2022,7.5,13000.0,"Emre, a young prosecutor newly appointed to the small town of Yaniklar, finds himself being pulled into a political conflict during his first criminal investigation.",2h 9m
When the Mist Clears,2022,3.4,638.0,"An erotic, drama, romance set in Italy.",1h 42m
A Love Song,2022,6.7,2400.0,"At a campground in the rural West, a woman waits alone for an old flame from her past to arrive, uncertain of his intentions while bashful about her own.",1h 21m
The Reef: Stalked,2022,4.2,5900.0,"After her sister's murder, Nic, her younger sister and two friends seek solace through a Pacific island kayaking adventure. Hours into the trip the women are stalked by a shark and must band together, face their fears and save each other.",1h 33m
Section Eight,2022,4.3,2000.0,After avenging the murder of his family a former soldier is sprung from prison and recruited by a shadowy government agency.,1h 38m
Bone Cold,2022,4.5,1200.0,"An experienced Black Ops sniper attempts a nightmarish escape after a failed mission, tracked by enemy soldiers hellbent on revenge, and hunted by something sinister and monstrous, hungry and determined.",1h 49m
MK Ultra,2022,5.0,8400.0,A psychiatrist is recruited by the Central Intelligence Agency to run experimentations of the unconscionable MK ULTRA drug in a mental hospital.,1h 38m
Aristotle and Dante Discover the Secrets of the Universe,2022,7.1,2900.0,"Mexican teenagers Aristotle Mendoza and Dante Quintana explore their friendship while struggling with racial and ethnic identity, sexuality and family relationships in 1987 El Paso, Texas.",1h 38m
Carter,2022,5.1,10000.0,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?",2h 12m
Eflatun,2022,8.1,5900.0,"Eflatun, a woman who has been blind since childhood, has managed to take back her life with the help of her father's various plays of shadows and sounds. Eflatun inherits his father's profession of watch repairer.",1h 43m
Love Today,2022,8.0,16000.0,"Two young lovers, who are made to exchange their phones for a day and what happens due to that.",2h 34m
This Is Christmas,2022,7.0,3800.0,"This rom-com set in London during the Christmas season follows Adam and Emma on their daily commute from the village of Langton to London, where they meet the same passengers every day.",1h 51m
Mending the Line,2022,6.7,1800.0,A Marine wounded in Afghanistan is sent to a V.A. facility in Montana where he meets a Vietnam Vet who teaches him how to fly fish as a way of dealing with his emotional and physical trauma.,2h 2m
Jezabel,2022,5.7,571.0,"Four upper-class high school students who live carefree between drugs, games and love until one of the girls, Eli, is brutally killed. Sixteen years later, the memory of the crime torments Alain, another member of the group.",1h 48m
End of the Road,2022,4.8,9300.0,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious killer.",1h 29m
Hellhole,2022,5.8,8700.0,"In 1987 Poland, a police officer investigating mysterious disappearances infiltrates a remote monastery and discovers a dark truth about its clergy.",1h 31m
Blue Jean,2022,7.0,5600.0,"In 1988, a closeted teacher is pushed to the brink when a new student threatens to expose her sexuality.",1h 37m
The Big 4,2022,6.1,4000.0,Tells the story of an elite assassin that is targeted by murderous gangsters after sparing a girl's life during a massacre.,2h 21m
Monica O My Darling,2022,7.4,22000.0,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.",2h 9m
A Jazzman's Blues,2022,6.8,4600.0,"Follows an investigation into an unsolved murder unveiling a story full of forbidden love, deceit and a secret.",2h 7m
Please Baby Please,2022,5.7,1300.0,Newlyweds Suze and Arthur become the dangerous obsession of a greaser gang that awakens a sleeping quandary into the couple's sexual and gender identities.,1h 35m
Deus,2022,4.4,2400.0,A mysterious black sphere is discovered in the orbit of Mars. Achilles is sent to examine it. After the exhausted crew of six awaken from eight months of hibernation.,1h 30m
Monica,2022,6.3,1600.0,"The intimate portrait of a woman who returns home to care for her dying mother. A delicate and nuanced story of a fractured family, the story explores universal themes of abandonment, aging, acceptance, and redemption.",1h 46m
The Medium,2022,5.1,914.0,"A team of paranormal investigators head for the highlands of Fraser's Hill, Malaysia, to probe a series of alleged disturbances at a house with a dark past.",1h 35m
Rise,2022,7.0,8600.0,Based on the real life story about the family that produced the first trio of brothers to become NBA champions in the history of the league.,1h 53m
Margaux,2022,4.5,5800.0,"A group of college friends rent a smart house for a weekend of partying. Later, they start to realize that Margaux, the house's super advanced AI system, has sinister designs for them.",1h 44m
Tall Girl 2,2022,4.7,6800.0,"After Jodi Kreyman gains popularity, her miscommunications start causing rifts with those around her and now she really needs to 'stand tall'.",1h 37m
Game of Love,2022,3.3,2100.0,Vivien accompanies her partner Roy to his childhood home to prepare for the sale of the family estate. Their relationship is put into jeopardy when secrets from Roy's past are revealed.,1h 31m
Vikram Vedha,2022,7.1,25000.0,A tough police officer sets out to track down and kill an equally tough gangster.,2h 40m
Night at the Museum: Kahmunrah Rises Again,2022,5.0,2800.0,Nick Daley hesitates becoming a museum nightwatchman and Kahmunrah returns to conquer the world.,1h 17m
Schweigend steht der Wald,2022,5.5,688.0,Anja Grimm returns to the remote forest area where her father disappeared many years ago. Her research triggers a brutal murder. Traces in the forest soil and pointer plants lead her to deeper layers of guilt and crime.,1h 40m
Corrective Measures,2022,4.3,5300.0,"In the world's most dangerous maximum security prison filled with supervillain inmates and corrupt staff, tensions rise leading to anarchy and destruction.",1h 46m
Stay the Night,2022,6.6,1100.0,A failed work opportunity prompts chronically single Grace to pursue a one night stand with a stranger. Turns out he's an on-the-outs professional athlete in town with a problem of his own. Maybe they can help each other.,1h 29m
The Fallen,2022,4.0,2800.0,"Trapped in a bunker during World War I, a group of soldiers are faced with an ungodly presence that slowly turns them against each other.",1h 48m
Rorschach,2022,6.9,6900.0,The Movie is about Luke Anthony who has a mysterious past and is out on a mission to seek revenge from someone who has destroyed him deeply,2h 30m
Into the Deep,2022,4.6,1900.0,"A young woman desperate for an escape, meets a mysterious and attractive stranger who promises a romantic trip. What follows is deceit, mistrust, and violence.",1h 30m
A Christmas Story Christmas,2022,6.7,20000.0,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.",1h 38m
Moonage Daydream,2022,7.6,16000.0,"A cinematic odyssey exploring David Bowie's creative and musical journey. From visionary filmmaker Brett Morgen, and sanctioned by the Bowie estate.",2h 15m
Navalny,2022,7.7,31000.0,Follows the man who survived an assassination attempt by poisoning with a lethal nerve agent in August 2020. During his months-long recovery he makes shocking discoveries about the attempt on his life and decides to return home.,1h 39m
Viking Wolf,2022,5.2,8100.0,"Seventeen-year-old Thale has just moved to a small town after her mother got a new job at the local police station. After a student is brutally killed at a party Thale attends, she becomes a key witness. Was the killer an animal? A wolf?",1h 37m
The Royal Treatment,2022,5.3,12000.0,"New York hairdresser Izzy seizes the chance to work at the wedding of a charming prince, but when sparks between them fly, will love or duty prevail?",1h 36m
God's Creatures,2022,6.0,3700.0,"In a windswept fishing village, a mother is torn between protecting her beloved son and her own sense of right and wrong. A lie she tells for him rips apart their family and close-knit community.",1h 40m
Sniper: Rogue Mission,2022,4.7,2400.0,"When a corrupt federal agent is implicated in a human trafficking network, CIA sniper Brandon Beckett teams up with his allies, national security agent Zero and the murderous Lady Death, to catch him.",1h 36m
Christmas with the Campbells,2022,5.4,2300.0,"Jess gets dumped by her boyfriend right before Christmas but his parents still want to celebrate Christmas with her while their son is away. Then she meets his cousin, but once he returns, Christmas gets a lot more complicated.",1h 28m
Fullmetal Alchemist: The Revenge of Scar,2022,5.4,2400.0,"When a mysterious figure starts to target State Alchemists for their sins against God, Alchemist Edward Elric and his brother Alphonse are at their most vulnerable, meanwhile the homunculi begin to unveil themselves once again.",2h 5m
The Devil You Know,2022,5.3,1300.0,"After a lifetime of trouble, a man has the chance to turn things around with the love and support of his family. As he tries to do right, he finds himself spiraling back into the dark place he overcame.",1h 56m
Godfather,2022,5.2,7800.0,"A political leader's death leads to a power struggle. Amid corruption, greed and deceit, an unlikely opponent steps up.",2h 37m
Love Accidentally,2022,5.3,1100.0,"When their significant others each break up with them, Alexa accidentally sends Jason a 'broken heart' text, thinking she's texting her friend.",1h 25m
The Outwaters,2022,3.9,4900.0,Four travelers encounter menacing phenomena while camping in a remote stretch of the Mojave Desert.,1h 50m
War Sailor,2022,7.3,4300.0,"The sailor Alfred is in the middle of the Atlantic Ocean when World War II breaks out. Suddenly the sailors are in the front of the war, without any weapons.",2h 30m
Honk for Jesus. Save Your Soul.,2022,5.3,4400.0,"In the aftermath of a huge scandal, Trinitie Childs, the first lady of a prominent Southern Baptist Mega Church, attempts to help her pastor-husband, Lee-Curtis Childs, rebuild their congregation.",1h 46m
Burn All My Letters,2022,6.2,1700.0,"It is based on the impact of passion, jealousy and anger across 70 years in a relationship, involving different generations.",2h
Return to Seoul,2022,6.9,9600.0,"A twenty-five-year-old French woman returns to Korea, the country she was born in before being adopted by a French couple, for the very first time. She decides to track down her biological parents, but her journey takes a surprising turn.",1h 59m
The Night of the 12th,2022,7.0,11000.0,"It is said that every investigator has a crime that haunts them, a case that hurts him more than the others, without him necessarily knowing why. For Yohan that case is the murder of Clara.",1h 55m
Umma,2022,4.7,11000.0,"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.",1h 23m
Moonshot,2022,5.6,6600.0,"This romantic comedy with a twist follows two college students as they join forces in order to be reunited with their significant others, embarking on a lively journey that takes them wildly off course.",1h 44m
Huesera: The Bone Woman,2022,6.0,6800.0,"Valeria has long dreamed about becoming a mother. After learning that she's pregnant, she expects to feel happy, yet something's off.",1h 37m
Frank and Penelope,2022,5.3,1000.0,A tale of love and violence when a man on his emotional last legs finds a savior seductively dancing in a run-down strip club. And a life most certainly headed off a cliff suddenly becomes redirected - as EVERYTHING is now worth dying for.,1h 52m
I Like Movies,2022,6.8,3100.0,"Lawrence Kweller, a socially inept 17-year old cinephile, gets a job at a video store, where he forms a complicated friendship with his older female manager.",1h 39m
Qala,2022,7.2,8100.0,"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",1h 59m
Beauty and the Billionaire,2022,6.2,884.0,Addison Burke travels with demanding billionaire Justin Ross as an assistant. The two clash until both start to see more in each other than they expected.,1h 32m
Something in the Dirt,2022,5.8,5900.0,Maverick filmmaking duo Justin Benson and Aaron Moorhead offer up a twisted reflection of our paranoid times in this inventive mix of buddy comedy and sci-fi thriller.,1h 56m
The Listener,2022,5.6,700.0,"Follows a helpline volunteer who is part of the small army that gets on the phone every night, fielding calls from all kinds of people feeling lonely, broken, etc.",1h 36m
Love and Leashes,2022,6.3,7000.0,"Love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain.",1h 57m
Sam & Kate,2022,6.2,2200.0,A son returns to his small hometown to take care of his ailing father.,1h 50m
National Theatre Live: Prima Facie,2022,9.1,2500.0,"Tessa is a young, brilliant barrister. From working class origins, she has reached the top of her game. An unexpected event forces her to confront the lines where the patriarchal power of the law, burden of proof and morals diverge.",2h
Dear Zoe,2022,5.8,1700.0,"When Tess and her family suffer an unimaginable loss, she finds support from a surprising source: her biological father - a lovable slacker from the wrong side of the tracks - and the charming but dangerous juvenile delinquent next door.",1h 34m
Call Jane,2022,6.5,6700.0,A married woman with an unwanted pregnancy lives in a time in America when she can't get a legal abortion and works with a group of suburban women to find help.,2h 1m
The Amazing Maurice,2022,6.2,6100.0,A streetwise cat and his gang of rats come up with the perfect money making scheme.,1h 33m
Brahmastra Part One: Shiva,2022,5.6,114000.0,"A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",2h 47m
Here for Blood,2022,6.0,866.0,"When his girlfriend is swamped with college exams, a pro-wrestler agrees to cover her well-paying babysitting job. What starts off as an easy night quickly spirals into bloody chaos when a murderous cult comes to abduct the child.",1h 40m
Amanda,2022,6.5,1500.0,"Amanda, 24, lives mostly isolated and has never had any friends, even if it's the thing she wants the most. Amanda chooses as her new mission to convince her childhood friend that they are still best friends.",1h 33m
Faraaz,2022,5.0,2000.0,"Based on the real-life terrorist attack that ravaged a Dhaka cafe, Faraaz is a tense hostage drama that unfolds over one claustrophobic night.",1h 52m
Sublime,2022,6.4,1400.0,"Manuel lives in a small coastal town. He plays bass in a band with his best friends. One of them is Felipe, with whom he shares a strong friendship. Unbreakable bond. Until the time comes to put it to test.",1h 40m
Eye for an Eye,2022,6.6,731.0,"The story focuses on Visually impaired but nonetheless lethal bounty hunter Cheng Xiazi who happened upon the assaulted Ni Yan, the lone survivor of a brutal massacre that claimed her whole family.",1h 17m
The Tinder Swindler,2022,7.1,75000.0,"Posing as a wealthy, jet-setting diamond mogul, he wooed women online, then conned them out of millions of dollars. Now some victims plan for payback.",1h 54m
Fire of Love,2022,7.6,16000.0,Intrepid scientists and lovers Katia and Maurice Krafft died in a volcanic explosion doing the very thing that brought them together: unraveling the mysteries of volcanoes by capturing the most explosive imagery ever recorded.,1h 38m
Lynch/Oz,2022,6.9,1500.0,Victor Fleming's film The Wizard of Oz (1939) is one of David Lynch's most enduring obsessions. This documentary goes over the rainbow to explore this Technicolor through-line in Lynch's work.,1h 48m
Dirty Games,2022,3.0,776.0,A game show in which all is not as it seems.,1h 27m
The Takedown,2022,5.8,9100.0,"Diakité and Monge are police officers who are complete opposites, and get paired together to uncover an unexpectedly big criminal case.",1h 59m
The Blackening,2022,6.0,21000.0,Seven friends go away for the weekend and end up trapped in a cabin with a killer who has a vendetta. Will their street smarts and knowledge of horror movies help them stay alive? Probably not.,1h 37m
Hocus Pocus 2,2022,6.0,56000.0,Two young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world.,1h 43m
Jackass Forever,2022,6.8,53000.0,"After 11 years, the Jackass crew is back for another crusade.",1h 36m
Butcher's Crossing,2022,5.6,6000.0,"An Ivy League drop-out travels to the Colorado wilderness, where he joins a team of buffalo hunters on a journey that puts his life and sanity at risk. Based on the highly acclaimed novel by John Williams.",1h 45m
See How They Run,2022,6.5,69000.0,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered.",1h 38m
The Next 365 Days,2022,2.9,11000.0,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,1h 52m
She Said,2022,7.3,45000.0,Jodi Kantor and Megan Twohey's quest to break the Harvey Weinstein scandal.,2h 9m
Morbius,2022,5.1,161000.0,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",1h 44m
Am I OK?,2022,6.1,10000.0,"Lucy and Jane have been best friends their entire lives. Only when Lucy embarks on a personal journey, will she face a test of her friendship, and her sense of self, on a path she may not be entirely ready to take.",1h 26m
"Alice, Darling",2022,5.6,13000.0,A young woman trapped in an abusive relationship becomes the unwitting participant in an intervention staged by her two closest friends.,1h 29m
The Woman King,2022,6.9,78000.0,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",2h 15m
Men,2022,6.0,72000.0,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,1h 40m
Decision to Leave,2022,7.3,61000.0,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.,2h 19m
Last Seen Alive,2022,5.7,33000.0,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.,1h 35m
The Good Nurse,2022,6.8,84000.0,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,2h 1m
Prey for the Devil,2022,5.3,20000.0,A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.,1h 33m
The Coffee Table,2022,6.7,8300.0,"Jesus and Maria are a couple going through a difficult time in their relationship. Nevertheless, they have just become parents. To shape their new life, they decide to buy a new coffee table. A decision that will change their existence.",1h 31m
365 Days: This Day,2022,2.7,26000.0,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.,1h 51m
Day Shift,2022,6.1,94000.0,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",1h 53m
The Invitation,2022,5.3,37000.0,"Evie's long-lost cousin invites her to a swanky English wedding, where she uncovers a dark and twisted family secret that threatens to upend her life.",1h 45m
The Princess,2022,5.7,16000.0,"When a strong-willed princess refuses to wed the cruel sociopath, she is kidnapped and locked in a remote tower of her father’s castle. With her vindictive suitor intent on taking her father’s throne, the princess must save the kingdom.",1h 34m
The Greatest Beer Run Ever,2022,6.8,32000.0,A man's story of leaving New York in 1967 to bring beer to his childhood buddies in the Army while they are fighting in Vietnam.,2h 6m
Sanctuary,2022,6.2,10000.0,"Hal attempts to end his secret relationship with dominatrix Rebecca. A battle of wills ensues over the course of one incredibly fraught night, with both struggling to keep the upper hand as the power dynamics swing wildly back and forth.",1h 36m
Shotgun Wedding,2022,5.5,40000.0,"Darcy and Tom gather their families for the ultimate destination wedding, but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.",1h 41m
Through My Window,2022,5.5,21000.0,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",1h 56m
Father Stu,2022,6.5,33000.0,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",2h 4m
Matilda: The Musical,2022,7.0,31000.0,"An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results.",1h 57m
The School for Good and Evil,2022,5.9,39000.0,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,2h 27m
1992,2022,5.7,2600.0,A shopkeeper must save his son from an angry mob during the 1992 L.A. uprising after the Rodney King verdict.,1h 37m
"Good Luck to You, Leo Grande",2022,7.2,41000.0,"Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. And she has a plan, which involves hiring a young sex worker named Leo Grande.",1h 37m
Weird: The Al Yankovic Story,2022,6.9,44000.0,"Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle.",1h 48m
